%Path: /HepData/8063/d1-x1-y1
%Measured inclusive jet cross section as a function of jet transverse momentum for absolute values of the jet rapidity %from 0.0 to 0.4 for cone radius R = 0.7.
%Location: F 1
%Experiment: FNAL-E-0823 (D0)
%Published in PRL 101,062001 (DOI:10.1103/PhysRevLett.101.062001)
%Preprinted as FERMILAB-PUB-08-034-E
%Archived as: ARXIV:0802.2400
%Record in: INSPIRE
%Rivet Analysis: D0_2008_S7662670
%
YRAP 0.0  0.4
SQRTS 1960.0 
YEAR 2008
JETALGO CONE
JETALGR 7
EXP D0
label D0 2008
%RE : PBAR P --> JET X
%SQRTS(S) : 1960.0 GeV
%x: PT(P=3) IN GEV
%y : D2(SIG)/DPT/DYRAP IN PB/GEV
%x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
54.5	50.0	60.0	23143.0	+162.0	-162.0	+2707.7309999999998	-2545.73
64.6	60.0	70.0	8818.0	+26.0	-26.0	+934.7080000000001	-881.8000000000001
74.6	70.0	80.0	3772.0	+18.0	-18.0	+380.972	-358.34
84.7	80.0	90.0	1759.0	+12.0	-12.0	+172.382	-161.82799999999997
94.7	90.0	100.0	893.0	+8.9	-8.9	+85.728	-80.37
104.7	100.0	110.0	482.8	+1.9	-1.9	+45.3832	-42.4864
114.7	110.0	120.0	274.4	+1.4	-1.4	+25.5192	-23.872799999999994
124.8	120.0	130.0	158.8	+0.5	-0.5	+14.6096	-13.6568
137.0	130.0	145.0	86.44	+0.35	-0.35	+7.952479999999999	-7.433839999999999
152.0	145.0	160.0	43.38	+0.22	-0.22	+3.99096	-3.73068
169.3	160.0	180.0	21.31	+0.06	-0.06	+1.98183	-1.8539699999999997
189.3	180.0	200.0	9.81	+0.039	-0.039	+0.9221400000000001	-0.8632800000000002
209.4	200.0	220.0	4.719	+0.024	-0.024	+0.448305	-0.42471000000000003
229.4	220.0	240.0	2.417	+0.015	-0.015	+0.23444899999999996	-0.21994699999999998
251.6	240.0	265.0	1.177	+0.009	-0.009	+0.11770000000000001	-0.11063800000000001
278.8	265.0	295.0	0.5084	+0.0056	-0.0056	+0.0528736	-0.049823200000000005
308.9	295.0	325.0	0.2097	+0.0038	-0.0038	+0.0228573	-0.0215991
341.1	325.0	360.0	0.08189	+0.00213	-0.00213	+0.009499239999999999	-0.0090079
378.2	360.0	400.0	0.02909	+0.00119	-0.00119	+0.00366534	-0.0034617100000000002
420.2	400.0	445.0	0.009915	+6.54E-4	-6.54E-4	+0.0013881	-0.0013087799999999998
465.2	445.0	490.0	0.003032	+3.58E-4	-3.58E-4	+4.7905600000000006E-4	-4.548E-4
512.1	490.0	540.0	5.925E-4	+1.529E-4	-1.529E-4	+1.07835E-4	-1.0190999999999999E-4
584.8	540.0	665.0	8.917E-5	+3.638E-5	-3.638E-5	+2.0152420000000002E-5	-1.881487E-5

