%Path: /HepData/8063/d2-x1-y1
%Measured inclusive jet cross section as a function of jet transverse momentum for absolute values of the jet rapidity fr%om 0.4 to 0.8 for cone radius R = 0.7.
%Location: F 1
%ABS(YRAP(P=3)) : 0.4 - 0.8
%RE : PBAR P --> JET X
%ABS(YRAP(P=3)) : 0.4 - 0.8
%SQRTS(S) : 1960.0 GeV
%Experiment: FNAL-E-0823 (D0)
%Published in PRL 101,062001 (DOI:10.1103/PhysRevLett.101.062001)
%Preprinted as FERMILAB-PUB-08-034-E
%Archived as: ARXIV:0802.2400
%Record in: INSPIRE
%Rivet Analysis: D0_2008_S7662670
%
YRAP 0.4 0.8
SQRTS 1960.0 
YEAR 2008
JETALGO CONE
JETALGR 7
EXP D0
label D0 2008
%x: PT(P=3) IN GEV
%y : D2(SIG)/DPT/DYRAP IN PB/GEV
%x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
54.5	50.0	60.0	21566.0	+172.0	-172.0	+2544.788	-2415.392
64.6	60.0	70.0	8106.0	+24.0	-24.0	+883.5540000000001	-834.9180000000001
74.6	70.0	80.0	3471.0	+17.0	-17.0	+360.98400000000004	-340.158
84.7	80.0	90.0	1611.0	+11.0	-11.0	+162.71099999999998	-154.65599999999998
94.7	90.0	100.0	799.8	+8.0	-8.0	+79.97999999999999	-75.18119999999999
104.7	100.0	110.0	435.3	+1.7	-1.7	+43.094699999999996	-40.4829
114.7	110.0	120.0	241.5	+1.4	-1.4	+23.667	-22.459500000000002
124.8	120.0	130.0	140.9	+0.6	-0.6	+13.808200000000001	-12.9628
137.0	130.0	145.0	76.38	+0.31	-0.31	+7.48524	-7.026959999999999
152.0	145.0	160.0	38.05	+0.23	-0.23	+3.7669499999999996	-3.5386499999999996
169.2	160.0	180.0	18.11	+0.05	-0.05	+1.811	-1.7204499999999998
189.3	180.0	200.0	8.105	+0.032	-0.032	+0.8267100000000001	-0.7780800000000001
209.4	200.0	220.0	3.779	+0.019	-0.019	+0.39679499999999995	-0.374121
229.4	220.0	240.0	1.853	+0.013	-0.013	+0.20012400000000002	-0.189006
251.6	240.0	265.0	0.8718	+0.0078	-0.0078	+0.0967698	-0.091539
278.8	265.0	295.0	0.3532	+0.0046	-0.0046	+0.0413244	-0.039205199999999996
308.8	295.0	325.0	0.1381	+0.0029	-0.0029	+0.0172625	-0.0164339
340.9	325.0	360.0	0.0527	+0.00163	-0.00163	+0.0071145	-0.0067983
378.0	360.0	400.0	0.01539	+8.2E-4	-8.2E-4	+0.0023085	-0.0022007700000000003
419.9	400.0	445.0	0.003741	+3.67E-4	-3.67E-4	+6.397110000000001E-4	-6.06042E-4
466.7	445.0	495.0	7.379E-4	+1.505E-4	-1.505E-4	+1.490558E-4	-1.4093890000000002E-4
539.9	495.0	635.0	6.021E-5	+2.457E-5	-2.457E-5	+1.56546E-5	-1.4570820000000001E-5

