%Path: /HepData/8063/d3-x1-y1
%Measured inclusive jet cross section as a function of jet transverse momentum for absolute values of the jet rapidity fr%om 0.8 to 1.2 for cone radius R = 0.7.
%Location: F 1
%ABS(YRAP(P=3)) : 0.8 - 1.2
%RE : PBAR P --> JET X
%Experiment: FNAL-E-0823 (D0)
%Published in PRL 101,062001 (DOI:10.1103/PhysRevLett.101.062001)
%Preprinted as FERMILAB-PUB-08-034-E
%Archived as: ARXIV:0802.2400
%Record in: INSPIRE
%Rivet Analysis: D0_2008_S7662670
%
YRAP 0.8  1.2
SQRTS 1960.0
YEAR 2008
JETALGO CONE
JETALGR 7
EXP D0
label D0 2008
%x: PT(P=3) IN GEV
%y : D2(SIG)/DPT/DYRAP IN PB/GEV
%x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
54.5	50.0	60.0	17563.0	+140.0	-140.0	+2177.812	-2054.8709999999996
64.6	60.0	70.0	6579.0	+85.0	-85.0	+769.743	-723.69
74.6	70.0	80.0	2786.0	+55.0	-55.0	+314.81800000000004	-298.102
84.7	80.0	90.0	1283.0	+38.0	-38.0	+142.41299999999998	-134.715
94.7	90.0	100.0	654.0	+7.2	-7.2	+68.67	-64.74600000000001
104.7	100.0	110.0	338.0	+5.1	-5.1	+35.49	-33.462
116.9	110.0	125.0	169.0	+0.8	-0.8	+17.576	-16.562
132.0	125.0	140.0	74.54	+0.6	-0.6	+7.826700000000001	-7.379460000000001
147.0	140.0	155.0	36.13	+0.18	-0.18	+3.82978	-3.613
162.0	155.0	170.0	17.94	+0.14	-0.14	+1.9375200000000001	-1.82988
179.2	170.0	190.0	8.458	+0.085	-0.085	+0.938838	-0.88809
199.3	190.0	210.0	3.641	+0.022	-0.022	+0.42235599999999995	-0.39686899999999997
219.3	210.0	230.0	1.633	+0.013	-0.013	+0.197593	-0.18616200000000002
239.4	230.0	250.0	0.757	+0.0076	-0.0076	+0.096139	-0.09084
259.4	250.0	270.0	0.3551	+0.005	-0.005	+0.047583400000000005	-0.045097700000000004
283.6	270.0	300.0	0.143	+0.0026	-0.0026	+0.020734999999999996	-0.019590999999999997
315.6	300.0	335.0	0.04104	+0.00123	-0.00123	+0.00664848	-0.00627912
352.5	335.0	375.0	0.0103	+5.4E-4	-5.4E-4	+0.0019364	-0.0018230999999999998
392.4	375.0	415.0	0.002388	+2.36E-4	-2.36E-4	+5.444639999999999E-4	-5.06256E-4
449.5	415.0	520.0	1.565E-4	+3.07E-5	-3.07E-5	+4.6637E-5	-4.2411500000000006E-5

