%Path: /HepData/3285/d2-x1-y1
%http://hepdata.cedar.ac.uk/view/irn1078658/d2/plain.txt
%Location: 2
%M : 45.0 GeV
%RE : P P --> HADRON X
%YRAP(P=3,RF=CM) : <0.9
%sqrts : 45.0 GeV
YRAP 0 0.9
SQRTS 45.0 
YEAR 1983
JETALGR NO
EXP AFS
label AFS 1983
%x: ET(P=3,RF=CM) IN GEV
%y : D(SIG)/D(ET) IN CM**2/GEV
%x	xlow	xhigh	y	dy+	dy-	
7.2	7.2	7.2	1.03E-27	+8.0E-29	-8.0E-29
7.7	7.7	7.7	6.87E-28	+6.6E-29	-6.6E-29
8.2	8.2	8.2	5.78E-28	+6.1E-29	-6.1E-29
8.7	8.7	8.7	3.72E-28	+4.9E-29	-4.9E-29
9.2	9.2	9.2	3.14E-28	+4.5E-29	-4.5E-29
9.7	9.7	9.7	2.57E-28	+4.1E-29	-4.1E-29
10.45	10.45	10.45	1.26E-28	+2.0E-29	-2.0E-29
11.45	11.45	11.45	1.02E-28	+1.8E-29	-1.8E-29
12.45	12.45	12.45	2.89E-29	+9.6E-30	-9.6E-30
14.0	14.0	14.0	1.77E-29	+6.0E-30	-6.0E-30
17.1	17.1	17.1	1.28E-30	+6.5E-31	-6.5E-31
20.7	20.7	20.7	5.21E-32	+2.3E-33	-2.3E-33
21.2	21.2	21.2	3.8E-32	+2.0E-33	-2.0E-33
21.7	21.7	21.7	2.77E-32	+1.7E-33	-1.7E-33
22.2	22.2	22.2	1.75E-32	+1.3E-33	-1.3E-33
22.7	22.7	22.7	1.2E-32	+1.1E-33	-1.1E-33
23.2	23.2	23.2	8.74E-33	+9.4E-34	-9.4E-34
23.7	23.7	23.7	5.08E-33	+7.2E-34	-7.2E-34
24.2	24.2	24.2	3.64E-33	+2.6E-34	-2.6E-34
24.7	24.7	24.7	2.85E-33	+2.3E-34	-2.3E-34
25.2	25.2	25.2	1.66E-33	+1.8E-34	-1.8E-34
25.7	25.7	25.7	1.07E-33	+1.4E-34	-1.4E-34
26.2	26.2	26.2	5.88E-34	+4.2E-35	-4.2E-35
26.7	26.7	26.7	3.64E-34	+3.3E-35	-3.3E-35
27.2	27.2	27.2	2.65E-34	+2.8E-35	-2.8E-35
27.7	27.7	27.7	2.23E-34	+2.6E-35	-2.6E-35
28.2	28.2	28.2	1.14E-34	+1.8E-35	-1.8E-35
28.7	28.7	28.7	9.65E-35	+1.69E-35	-1.69E-35
29.45	29.45	29.45	3.31E-35	+7.0E-36	-7.0E-36
30.45	30.45	30.45	2.03E-35	+5.6E-36	-5.6E-36
31.7	31.7	31.7	8.75E-36	+2.76E-36	-2.76E-36

