%Path: /HepData/3285/d3-x1-y1
%http://hepdata.cedar.ac.uk/view/irn1078658/d3/plain.txt
%Location: 3
%M : 63.0 GeV
%RE : P P --> HADRON X
%YRAP(P=3,RF=CM) : <0.9
%sqrts : 63.0 GeV
%
YRAP 0. 0.9
SQRTS  63.0 
%
YEAR 1983
JETALGO NO
JETALGR 0
EXP AFS
label AFS 1983
%
%x: ET(P=3,RF=CM) IN GEV
%y : D(SIG)/D(ET) IN CM**2/GEV
%x	xlow	xhigh	y	dy+	dy-	
0.75	0.75	0.75	2.42E-29	+2.42E-29	-2.42E-29
1.25	1.25	1.25	3.64E-28	+9.4E-29	-9.4E-29
1.75	1.75	1.75	1.07E-27	+1.6E-28	-1.6E-28
2.25	2.25	2.25	2.33E-27	+2.4E-28	-2.4E-28
2.75	2.75	2.75	3.08E-27	+2.7E-28	-2.7E-28
3.25	3.25	3.25	3.81E-27	+3.0E-28	-3.0E-28
3.75	3.75	3.75	3.59E-27	+2.9E-28	-2.9E-28
4.25	4.25	4.25	3.59E-27	+2.9E-28	-2.9E-28
4.75	4.75	4.75	2.88E-27	+2.6E-28	-2.6E-28
5.17	5.17	5.17	2.23E-27	+2.3E-28	-2.3E-28
5.67	5.67	5.67	1.41E-27	+1.8E-28	-1.8E-28
6.17	6.17	6.17	1.67E-27	+2.0E-28	-2.0E-28
6.67	6.67	6.67	1.19E-27	+1.7E-28	-1.7E-28
7.17	7.17	7.17	9.45E-28	+1.51E-28	-1.51E-28
7.67	7.67	7.67	6.54E-28	+1.26E-28	-1.26E-28
8.17	8.17	8.17	5.09E-28	+1.16E-28	-1.16E-28
8.67	8.67	8.67	4.12E-28	+1.0E-28	-1.0E-28
9.17	9.17	9.17	2.91E-28	+8.4E-29	-8.4E-29
9.67	9.67	9.67	1.94E-28	+6.9E-29	-6.9E-29
10.33	10.33	10.33	9.69E-29	+1.71E-29	-1.71E-29
11.33	11.33	11.33	8.84E-29	+3.21E-29	-3.21E-29
12.33	12.33	12.33	6.06E-29	+2.71E-29	-2.71E-29
15.67	15.67	15.67	8.24E-30	+5.5E-31	-5.5E-31
16.17	16.17	16.17	5.56E-30	+4.5E-31	-4.5E-31
16.67	16.67	16.67	4.62E-30	+4.1E-31	-4.1E-31
17.17	17.17	17.17	3.88E-30	+3.8E-31	-3.8E-31
17.67	17.67	17.67	2.71E-30	+3.1E-31	-3.1E-31
18.17	18.17	18.17	1.65E-30	+2.5E-31	-2.5E-31
18.67	18.67	18.67	1.28E-30	+2.2E-31	-2.2E-31
19.17	19.17	19.17	7.69E-31	+1.68E-31	-1.68E-31
19.67	19.67	19.67	5.12E-31	+1.37E-31	-1.37E-31
20.17	20.17	20.17	5.86E-31	+1.46E-31	-1.46E-31
20.67	20.67	20.67	3.65E-31	+2.7E-32	-2.7E-32
21.17	21.17	21.17	2.84E-31	+2.4E-32	-2.4E-32
21.67	21.67	21.67	1.69E-31	+1.8E-32	-1.8E-32
22.17	22.17	22.17	1.54E-31	+1.7E-32	-1.7E-32
22.67	22.67	22.67	1.14E-31	+1.5E-32	-1.5E-32
23.17	23.17	23.17	9.77E-32	+1.43E-32	-1.43E-32
23.67	23.67	23.67	8.54E-32	+7.1E-33	-7.1E-33
24.17	24.17	24.17	4.7E-32	+9.6E-33	-9.6E-33
24.67	24.67	24.67	2.87E-32	+2.1E-33	-2.1E-33
25.17	25.17	25.17	1.92E-32	+1.7E-33	-1.7E-33
25.67	25.67	25.67	1.83E-32	+1.7E-33	-1.7E-33
26.17	26.17	26.17	9.31E-33	+8.6E-34	-8.6E-34
26.67	26.67	26.67	6.02E-33	+6.9E-34	-6.9E-34
27.17	27.17	27.17	6.65E-33	+7.3E-34	-7.3E-34
27.67	27.67	27.67	3.85E-33	+5.5E-34	-5.5E-34
28.17	28.17	28.17	3.23E-33	+5.1E-34	-5.1E-34
28.67	28.67	28.67	2.88E-33	+4.9E-34	-4.9E-34
29.17	29.17	29.17	1.82E-33	+2.8E-34	-2.8E-34
29.67	29.67	29.67	1.32E-33	+2.3E-34	-2.3E-34
30.17	30.17	30.17	7.82E-34	+1.74E-34	-1.74E-34
30.67	30.67	30.67	6.7E-34	+1.64E-34	-1.64E-34
31.17	31.17	31.17	3.85E-34	+1.6E-35	-1.6E-35
31.67	31.67	31.67	2.92E-34	+1.4E-35	-1.4E-35
32.17	32.17	32.17	2.26E-34	+1.2E-35	-1.2E-35
32.67	32.67	32.67	1.76E-34	+1.1E-35	-1.1E-35
33.17	33.17	33.17	1.24E-34	+9.0E-36	-9.0E-36
33.67	33.67	33.67	1.01E-34	+8.0E-36	-8.0E-36
34.17	34.17	34.17	7.05E-35	+6.9E-36	-6.9E-36
34.67	34.67	34.67	6.58E-35	+6.7E-36	-6.7E-36
35.17	35.17	35.17	2.95E-35	+4.5E-36	-4.5E-36
35.67	35.67	35.67	3.49E-35	+4.9E-36	-4.9E-36
36.17	36.17	36.17	2.12E-35	+3.8E-36	-3.8E-36
36.67	36.67	36.67	1.59E-35	+3.3E-36	-3.3E-36
37.17	37.17	37.17	1.1E-35	+2.7E-36	-2.7E-36
37.67	37.67	37.67	1.03E-35	+2.7E-36	-2.7E-36
38.17	38.17	38.17	6.18E-36	+2.05E-36	-2.05E-36
38.67	38.67	38.67	4.79E-36	+1.81E-36	-1.81E-36
39.42	39.42	39.42	1.71E-36	+1.08E-36	-1.08E-36
40.42	40.42	40.42	1.37E-36	+9.7E-37	-9.7E-37
42.32	42.32	42.32	4.28E-37	+1.91E-37	-1.91E-37

