%AAD et al.
%ARXIV:1112.6297
%CERN-PH-EP-2011-192
%
%Inclusive jet PT distribution for the |y| range  0.0-0.3 and R=0.6.
%
%
%
%Location: T 12F 10
%RE : P P --> JET X
%
YRAP 0.0 0.3
SQRTS 7000.0 
YEAR 2011
JETALGO ANTIKT
JETALGR 6
EXP ATLAS
label ATLAS 2010
%NSYST 3
%#
%
%R : 0.6
%x-axis header: PT IN GEV
%y-axis header: D2(SIG)/DPT/DYRAP IN PB/GEV
%
% should take in error in percent
% xlow	xhigh	y	dy+	dy-	dy+	dy-	dy+	dy-	
25.  20.0	30.0	1.0E7	+56999.99999999999	-56999.99999999999	+2740000.0	-2620000.0	+130000.0	-130000.0
37.5 30.0	45.0	1230000.0	+14883.0	-14883.0	+247230.00000000003	-221400.0	+13530.000000000002	-13530.000000000002
52.5 45.0	60.0	219000.0	+5759.7	-5759.7	+31317.0	-22557.0	+2409.0	-2409.0
70.  60.0	80.0	54500.0	+523.1999999999999	-523.1999999999999	+5995.0	-5014.0	+545.0	-545.0
95. 80.0	110.0	11400.0	+95.75999999999999	-95.75999999999999	+1151.3999999999999	-1197.0	+125.4	-125.4
135. 110.0	160.0	1930.0	+11.773	-11.773	+160.19000000000003	-183.35	+21.230000000000004	-21.230000000000004
185. 160.0	210.0	321.0	+2.1507	-2.1507	+38.199	-34.668	+3.531	-3.531
235. 210.0	260.0	77.8	+0.7002	-0.7002	+9.1804	-9.725	+0.778	-0.778
285. 260.0	310.0	25.4	+0.21081999999999998	-0.21081999999999998	+3.175	-2.6416	+0.254	-0.254
355. 310.0	400.0	7.16	+0.066588	-0.066588	+0.8233999999999999	-0.80908	+0.0716	-0.0716
450. 400.0	500.0	1.6	+0.0256	-0.0256	+0.192	-0.20800000000000002	+0.016	-0.016
550. 500.0	600.0	0.41	+0.012217999999999998	-0.012217999999999998	+0.058629999999999995	-0.05616999999999999	+0.00451	-0.00451
700. 600.0	800.0	0.0761	+0.00400286	-0.00400286	+0.0127848	-0.011415	+7.61E-4	-7.61E-4
900. 800.0	1000.0	0.0118	+0.0016874	-0.0016874	+0.0022538000000000002	-0.0019824	+1.18E-4	-1.18E-4
1100. 1000.0	1200.0	0.00154	+5.235999999999999E-4	-5.235999999999999E-4	+3.526599999999999E-4	-3.1415999999999996E-4	+1.5399999999999998E-5	-1.5399999999999998E-5
1350. 1200.0	1500.0	3.99E-4	+2.3501099999999998E-4	-2.3501099999999998E-4	+1.08927E-4	-1.05735E-4	+3.99E-6	-3.99E-6
