%AAD et al.
%ARXIV:1112.6297
%CERN-PH-EP-2011-192
%
%Inclusive jet PT distribution for the |y| range  0.3-0.8 and R=0.6.
%
%
%
%Location: T 13F 10
%RE : P P --> JET X
%
YRAP 0.3 0.8
SQRT 7000.0 
YEAR 2011
JETALGO ANTIKT
JETALGR 6
EXP ATLAS
label ATLAS 2010
%
%R : 0.6
%x-axis header: PT IN GEV
%y-axis header: D2(SIG)/DPT/DYRAP IN PB/GEV
%
%x	xlow	xhigh	y	dy+	dy-	dy+	dy-	dy+	dy-	
25.  20.  30. 9.95E6 47760. -47760. 2.39795E6 -2.29845E6 129350. -129350.
37.5 30.  45. 1.25E6 12875. -12875. 252500. -231250. 13750.000000000002 -13750.000000000002
52.5 45.  60. 225000. 4590. -4590. 32625. -26325. 2475. -2475.
70.  60.  80. 53200. 430.92 -430.92 5745.6 -5160.4 585.2 -585.2
95.  80.  110. 11300. 53.11 -53.11 1062.2 -1243. 124.30000000000001 -124.30000000000001
135. 110. 160. 1880. 8.648000000000001 -8.648000000000001 189.88 -186.12 20.680000000000003 -20.680000000000003
185. 160. 210. 303. 1.4847 -1.4847 35.45099999999999 -29.694 3.333 -3.333
235. 210. 260. 74.7 0.46314 -0.46314 8.6652 -9.113399999999999 0.8217000000000001 -0.8217000000000001
285. 260. 310. 23.9 0.14101 -0.14101 3.2264999999999997 -3.0353 0.239 -0.239
355. 310. 400. 6.79 0.047529999999999996 -0.047529999999999996 1.00492 -0.84196 0.0679 -0.0679
450. 400. 500. 1.44 0.021168 -0.021168 0.2016 -0.19872 0.0144 -0.0144
550. 500. 600. 0.368 0.0100096 -0.0100096 0.054096 -0.051152 0.004048 -0.004048
700. 600. 800. 0.075 0.003345 -0.003345 0.012674999999999999 -0.011850000000000001 0.00075 -0.00075
900. 800. 1000. 0.00909 0.0010817100000000003 -0.0010817100000000003 0.0019270800000000003 -0.0016907400000000005 0.00009090000000000001 -0.00009090000000000001
1100. 1000. 1200. 0.00161 0.00046368000000000006 -0.00046368000000000006 0.00041377000000000004 -0.00036547 0.000016100000000000002 -0.000016100000000000002
1350. 1200. 1500. 0.000235 0.000137945 -0.000137945 0.00006956 -0.00007026499999999999 2.35E-6 -2.35E-6
