%Path: /HepData/1138/d4-x1-y1
%Measured inclusive jet cross section as a function of jet transverse momentum for absolute values of the jet rapidity from 1.2 to 1.6 for cone radius R = 0.7.
%ABS(YRAP(P=3)) : 1.2 TO 1.6
YRAP 1.2  1.6
%RE : PBAR P --> JET X
SQRTS 1960.0 
xl	xh	y	dy+	dy-	dy+	dy-	
50.0	60.0	15113.0	+136.0	-136.0	+2055.368	-1964.69
60.0	70.0	5225.0	+78.0	-78.0	+679.25	-642.6750000000001
70.0	80.0	2179.0	+50.0	-50.0	+274.554	-263.659
80.0	90.0	956.5	+8.6	-8.6	+113.8235	-108.0845
90.0	100.0	460.1	+1.8	-1.8	+53.8317	-51.0711
100.0	110.0	233.1	+1.2	-1.2	+27.5058	-26.1072
110.0	125.0	109.9	+0.7	-0.7	+13.078100000000001	-12.418700000000001
125.0	140.0	45.48	+0.45	-0.45	+5.59404	-5.2756799999999995
140.0	155.0	19.83	+0.14	-0.14	+2.45892	-2.33994
155.0	170.0	9.136	+0.1	-0.1	+1.169408	-1.105456
170.0	190.0	3.734	+0.052	-0.052	+0.496622	-0.47048399999999996
190.0	215.0	1.23	+0.01	-0.01	+0.1845	-0.17712
215.0	240.0	0.3532	+0.0049	-0.0049	+0.0575716	-0.0550992
240.0	265.0	0.1083	+0.0023	-0.0023	+0.019710599999999998	-0.0188442
265.0	290.0	0.0291	+0.00108	-0.00108	+0.006023700000000001	-0.0057327
290.0	325.0	0.007082	+3.97E-4	-3.97E-4	+0.0017209260000000002	-0.001621778
325.0	415.0	3.741E-4	+4.3E-5	-4.3E-5	+1.193379E-4	-1.103595E-4

